"No. HS--13. Live Births, Deaths, Infant Deaths, and Maternal Deaths: 1900 to 2001",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[2,718 represents 1,718,000. Prior to 1960, excludes Alaska and Hawaii. Beginning 1970, excludes",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"births to, and deaths of nonresidents of the United States.]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"                Number (1,000)",,,,"                         Rate per 1,000 population",,,,,"                  Death rates per 100,000 population",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,               Deaths,,,,                     Deaths,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Total ,Infant ,Maternal,,,,,,,,,,,,,,,,,,,,
Year,,,,,Births \1,deaths,deaths,deaths,,,,,,,,,,,,,,,,,,,,
,,,,,per,per,per,per,,,,Major,Influenza,,,,,,,,,,,,,,,
,,"Deaths, ",,,"1,000","1,000","1,000","10,000",,"Tuberculosis,",Malignant ,cardiovascular/,and,Motor vehicle,,,,,,,,,,,,,,
,Births \1,total ,Infant \2,,population,population,live births \2,births \3,,all forms,neoplasms ,renal diseases,pneumonia \4,accidents \5,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1900,(NA),343,71,,(NA),17.2,(NA),(NA),,194.4,64.0,345.2,202.2,(NA),,,,,,,,,,,,,,
1901,(NA),332,63,,(NA),16.4,(NA),(NA),,189.9,66.4,347.7,197.2,(NA),,,,,,,,,,,,,,
1902,(NA),319,63,,(NA),15.5,(NA),(NA),,174.2,66.3,349.8,161.3,(NA),,,,,,,,,,,,,,
1903,(NA),327,61,,(NA),15.6,(NA),(NA),,177.2,70.0,364.4,169.3,(NA),,,,,,,,,,,,,,
1904,(NA),350,65,,(NA),16.4,(NA),(NA),,188.1,71.5,388.8,192.1,(NA),,,,,,,,,,,,,,
1905,(NA),346,67,,(NA),15.9,(NA),(NA),,179.9,73.4,384.0,169.3,(NA),,,,,,,,,,,,,,
1906,(NA),531,109,,(NA),15.7,(NA),(NA),,175.8,69.3,364.3,156.3,0.4,,,,,,,,,,,,,,
1907,(NA),550,106,,(NA),15.9,(NA),(NA),,174.2,71.4,389.8,180.0,0.7,,,,,,,,,,,,,,
1908,(NA),567,113,,(NA),14.7,(NA),(NA),,162.1,71.5,356.7,150.9,0.8,,,,,,,,,,,,,,
1909,"2,718",630,122,,30.0,14.2,(NA),(NA),,156.3,74.0,362.0,148.1,1.2,,,,,,,,,,,,,,
